,TLDs
961,PRUDENTIAL
962,PS
963,PT
964,PUB
965,PW
966,PWC
967,PY
968,QA
969,QPON
970,QUEBEC
971,QUEST
972,RACING
973,RADIO
974,RE
975,READ
976,REALESTATE
977,REALTOR
978,REALTY
979,RECIPES
980,RED
981,REDSTONE
982,REDUMBRELLA
983,REHAB
984,REISE
985,REISEN
986,REIT
987,RELIANCE
988,REN
989,RENT
990,RENTALS
991,REPAIR
992,REPORT
993,REPUBLICAN
994,REST
995,RESTAURANT
996,REVIEW
997,REVIEWS
998,REXROTH
999,RICH
1000,RICHARDLI
1001,RICOH
1002,RIL
1003,RIO
1004,RIP
1005,RO
1006,ROCHER
1007,ROCKS
1008,RODEO
1009,ROGERS
1010,ROOM
1011,RS
1012,RSVP
1013,RU
1014,RUGBY
1015,RUHR
1016,RUN
1017,RW
1018,RWE
1019,RYUKYU
1020,SA
1021,SAARLAND
1022,SAFE
1023,SAFETY
1024,SAKURA
1025,SALE
1026,SALON
1027,SAMSCLUB
1028,SAMSUNG
1029,SANDVIK
1030,SANDVIKCOROMANT
1031,SANOFI
1032,SAP
1033,SARL
1034,SAS
1035,SAVE
1036,SAXO
1037,SB
1038,SBI
1039,SBS
1040,SC
1041,SCA
1042,SCB
1043,SCHAEFFLER
1044,SCHMIDT
1045,SCHOLARSHIPS
1046,SCHOOL
1047,SCHULE
1048,SCHWARZ
1049,SCIENCE
1050,SCOT
1051,SD
1052,SE
1053,SEARCH
1054,SEAT
1055,SECURE
1056,SECURITY
1057,SEEK
1058,SELECT
1059,SENER
1060,SERVICES
1061,SES
1062,SEVEN
1063,SEW
1064,SEX
1065,SEXY
1066,SFR
1067,SG
1068,SH
1069,SHANGRILA
1070,SHARP
1071,SHAW
1072,SHELL
1073,SHIA
1074,SHIKSHA
1075,SHOES
1076,SHOP
1077,SHOPPING
1078,SHOUJI
1079,SHOW
1080,SHOWTIME
1081,SI
1082,SILK
1083,SINA
1084,SINGLES
1085,SITE
1086,SJ
1087,SK
1088,SKI
1089,SKIN
1090,SKY
1091,SKYPE
1092,SL
1093,SLING
1094,SM
1095,SMART
1096,SMILE
1097,SN
1098,SNCF
1099,SO
1100,SOCCER
1101,SOCIAL
1102,SOFTBANK
1103,SOFTWARE
1104,SOHU
1105,SOLAR
1106,SOLUTIONS
1107,SONG
1108,SONY
1109,SOY
1110,SPA
1111,SPACE
1112,SPORT
1113,SPOT
1114,SR
1115,SRL
1116,SS
1117,ST
1118,STADA
1119,STAPLES
1120,STAR
1121,STATEBANK
1122,STATEFARM
1123,STC
1124,STCGROUP
1125,STOCKHOLM
1126,STORAGE
1127,STORE
1128,STREAM
1129,STUDIO
1130,STUDY
1131,STYLE
1132,SU
1133,SUCKS
1134,SUPPLIES
1135,SUPPLY
1136,SUPPORT
1137,SURF
1138,SURGERY
1139,SUZUKI
1140,SV
1141,SWATCH
1142,SWISS
1143,SX
1144,SY
1145,SYDNEY
1146,SYSTEMS
1147,SZ
1148,TAB
1149,TAIPEI
1150,TALK
1151,TAOBAO
1152,TARGET
